ID_event;Sport;Event
5959;Athletics;Athletics Men's Standing High Jump
5960;Athletics;Athletics Men's Standing Long Jump
5981;Tennis;Tennis Men's Singles, Covered Courts
6027;Shooting;Shooting Men's Military Rifle, Standing, 300 metres
6028;Shooting;Shooting Men's Military Rifle, Standing, 300 metres, Team
6029;Shooting;Shooting Men's Free Rifle, Prone, 600 metres
6030;Shooting;Shooting Men's Free Rifle, 400, 600 and 800 metres, Team
6171;Swimming;Swimming Men's Underwater Swimming
6192;Cycling;Cycling Men's Madison
6217;Shooting;Shooting Men's Small-Bore Rifle, Standing, 50 metres
6218;Shooting;Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team
6492;Shooting;Shooting Men's Free Pistol, 30 metres
6494;Shooting;Shooting Men's Military Pistol, 25 metres
6495;Shooting;Shooting Men's Muzzle-Loading Pistol, 25 metres
6593;Art Competitions;Art Competitions Mixed Literature, Epic Works
6847;Weightlifting;Weightlifting Men's Heavyweight I
6856;Athletics;Athletics Men's 3,000 metres Walk
7105;Taekwondo;Taekwondo Men's Featherweight
7113;Art Competitions;Art Competitions Mixed Architecture, Unknown Event
7716;Art Competitions;Art Competitions Mixed Music, Compositions For Solo Or Chorus
7856;Sailing;Sailing Mixed 12 foot
7894;Athletics;Athletics Women's 80 metres Hurdles
7906;Equestrianism;Equestrianism Mixed Three-Day Event, Team
7943;Art Competitions;Art Competitions Mixed Painting, Drawings And Water Colors
7948;Art Competitions;Art Competitions Mixed Sculpturing, Medals And Reliefs
8038;Cycling;Cycling Men's Team Pursuit, 1,980 yards
8039;Cycling;Cycling Men's 5,000 metres
8040;Cycling;Cycling Men's 20 kilometres
8041;Cycling;Cycling Men's 100 kilometres
8085;Shooting;Shooting Men's Military Rifle, Prone, 600 metres, Team
8087;Shooting;Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team
8109;Athletics;Athletics Men's 3 mile, Team
8193;Athletics;Athletics Men's 4 x 400 metres Relay
8194;Shooting;Shooting Men's Free Pistol, 50 yards
8297;Equestrianism;Equestrianism Men's Dressage, Team
8303;Sailing;Sailing Mixed 6.5 metres
8369;Gymnastics;Gymnastics Women's Team Portable Apparatus
8415;Shooting;Shooting Men's Free Pistol, 50 yards, Team
8422;Archery;Archery Men's Target Archery, 28 metres, Team
8455;Shooting;Shooting Men's Trap, Team
8542;Athletics;Athletics Men's Pentathlon
8954;Athletics;Athletics Men's 1,600 metres Medley Relay
9220;Archery;Archery Men's Unknown Event
9376;Sailing;Sailing Mixed Open
9377;Sailing;Sailing Mixed 3-10 Ton
10178;Swimming;Swimming Men's 4,000 metres Freestyle
10188;Art Competitions;Art Competitions Mixed Painting, Applied Arts
10507;Shooting;Shooting Men's Unknown Event
12011;Fencing;Fencing Men's epee, Masters, Individual
12201;Art Competitions;Art Competitions Mixed Literature, Dramatic Works
12451;Canoeing;Canoeing Men's Folding Kayak Singles, 10 kilometres
12569;Canoeing;Canoeing Men's Folding Kayak Doubles, 10 kilometres
12736;Swimming;Swimming Men's 400 metres Breaststroke
12772;Athletics;Athletics Men's Shot Put, Both Hands
12804;Sailing;Sailing Mixed 12 metres
12848;Shooting;Shooting Men's Running Target, Single Shot
12849;Shooting;Shooting Men's Running Target, Single Shot, Team
12850;Shooting;Shooting Men's Running Target, Double Shot
12851;Shooting;Shooting Men's Running Target, Double Shot, Team
12883;Sailing;Sailing Mixed 10 metres
12993;Weightlifting;Weightlifting Men's Super-Heavyweight
12998;Canoeing;Canoeing Men's Canadian Singles, 10,000 metres
13115;Athletics;Athletics Men's Javelin Throw, Freestyle
13118;Athletics;Athletics Men's Javelin Throw, Both Hands
13142;Gymnastics;Gymnastics Men's Side Horse
13193;Athletics;Athletics Men's 3,000 metres, Team
13471;Figure Skating;Figure Skating Men's Singles
13502;Figure Skating;Figure Skating Mixed Pairs
13546;Athletics;Athletics Men's Discus Throw, Greek Style
13549;Athletics;Athletics Men's Discus Throw, Both Hands
14304;Shooting;Shooting Mixed Running Target, 50 metres
14473;Shooting;Shooting Men's Running Target, Single And Double Shot
14683;Athletics;Athletics Men's 56-pound Weight Throw
16296;Sailing;Sailing Mixed 7 metres
16604;Shooting;Shooting Men's Free Rifle, 1,000 Yards
16924;Figure Skating;Figure Skating Women's Singles
17886;Gymnastics;Gymnastics Men's Individual All-Around, Field Sports
17887;Gymnastics;Gymnastics Men's Individual All-Around, Apparatus Work
18687;Art Competitions;Art Competitions Mixed Music, Instrumental And Chamber
18791;Art Competitions;Art Competitions Mixed Unknown Event
18923;Rugby;Rugby Men's Rugby
20694;Canoeing;Canoeing Men's Kayak Doubles, 200 metres
23045;Rugby Sevens;Rugby Sevens Men's Rugby Sevens
23066;Sailing;Sailing Mixed 1-2 Ton
23074;Fencing;Fencing Men's Sabre, Masters, Individual
23121;Rugby Sevens;Rugby Sevens Women's Rugby Sevens
23229;Equestrianism;Equestrianism Mixed Hacks And Hunter Combined
23285;Cricket;Cricket Men's Cricket
23292;Archery;Archery Men's Continental Style
23340;Sailing;Sailing Mixed 0.5-1 Ton
23346;Croquet;Croquet Mixed Singles, One Ball
23347;Croquet;Croquet Mixed Doubles
23362;Fencing;Fencing Men's epee, Masters and Amateurs, Individual
23405;Equestrianism;Equestrianism Men's Vaulting, Individual
23536;Cycling;Cycling Men's 25 kilometres
23603;Archery;Archery Men's Au Cordon Dore, 50 metres
23604;Archery;Archery Men's Double York Round
23795;Swimming;Swimming Men's 200 metres Obstacle Course
23796;Swimming;Swimming Men's 200 metres Team Swimming
23872;Sailing;Sailing Mixed 10-20 Ton
23893;Croquet;Croquet Mixed Singles, Two Balls
23906;Sailing;Sailing Mixed 2-3 Ton
24007;Shooting;Shooting Men's Military Pistol, Team
24037;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards
24038;Shooting;Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team
24067;Athletics;Athletics Men's 3,200 metres Steeplechase
24321;Polo;Polo Men's Polo
24508;Archery;Archery Men's Target Archery, 33 metres, Individual
24509;Archery;Archery Men's Target Archery, 50 metres, Individual
24511;Archery;Archery Men's Target Archery, 33 metres, Team
24512;Archery;Archery Men's Target Archery, 50 metres, Team
24605;Sailing;Sailing Mixed 0-0.5 Ton
24803;Athletics;Athletics Men's 5,000 metres, Team
24834;Equestrianism;Equestrianism Men's Vaulting, Team
24904;Ice Hockey;Ice Hockey Men's Ice Hockey
